AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,GyroZ_range,GyroZ_median,label
11.825,5.555720083033849,-2,19,21,11.5,1.3,4.461803705643303,-6,13,19,0.0,-0.325,4.358237117141606,-10,9,19,0.0,19.275,177.05670357840532,-314,335,649,3.5,-90.5,166.89440850353134,-501,112,613,-28.5,-25.8,156.90993660418135,-299,299,598,-13.0,badminton
11.7,5.55716216085614,0,19,19,11.0,0.925,5.298221762643939,-8,13,21,0.0,-0.375,5.736466794295186,-17,9,26,1.0,13.7,165.94534163469731,-335,407,742,-4.5,-107.8,191.6863356685898,-782,99,881,-32.0,-58.975,146.7335781227935,-361,174,535,3.5,badminton
11.175,5.123537940294872,0,19,19,10.0,1.2,5.160003975351281,-9,15,24,1.0,0.625,5.673544092020663,-15,11,26,2.0,43.4,149.90352453050153,-283,439,722,29.0,-116.775,179.3904904863217,-665,23,688,-18.0,-2.55,154.8261142088945,-332,298,630,15.5,badminton
12.075,5.450887954010749,0,19,19,11.0,2.075,4.581946177033376,-5,16,21,1.0,-0.625,3.746365760341135,-10,5,15,0.5,31.275,172.70205371961956,-295,491,786,28.5,-114.975,199.07368658943275,-671,122,793,-29.5,-27.925,180.3851133064037,-437,247,684,5.5,badminton
12.225,5.622698959551684,0,19,19,12.0,0.675,4.916677531496036,-8,15,23,0.0,0.95,4.573894710256547,-11,11,22,0.0,10.4,155.9945429683277,-254,382,636,5.5,-112.225,208.6345704200504,-741,302,1043,-54.0,-30.375,183.36298419898978,-346,335,681,-23.0,badminton
11.725,5.7956106290970375,-2,19,21,11.0,-0.475,5.232969936754306,-16,11,27,-0.5,-0.075,3.4743566089498996,-13,5,18,0.0,-4.65,172.79728007118632,-365,484,849,16.0,-90.275,184.0192280226479,-697,104,801,-31.0,-55.8,172.2598216469707,-485,259,744,-11.5,badminton
11.725,5.629535208759837,0,19,19,10.0,0.45,4.776813657444544,-12,12,24,0.0,-0.475,3.5517240306284483,-11,5,16,0.0,42.575,185.81282110548636,-313,620,933,39.0,-118.175,195.27388885016518,-728,56,784,-23.0,-1.475,178.98932606765646,-510,393,903,10.0,badminton
10.725,5.401744732384728,1,19,18,9.0,-2.025,6.061596218649731,-19,6,25,0.0,2.7,6.243766121870308,-19,16,35,4.0,-33.575,152.49630302370426,-292,466,758,-30.0,-71.675,273.94594146684096,-1190,220,1410,-2.5,-24.1,228.2891553743595,-549,563,1112,-17.0,badminton
11.875,4.98298386562993,5,19,14,9.0,-2.65,6.18331087147762,-19,7,26,-2.0,2.125,5.983685083582456,-19,12,31,3.0,-56.825,178.46207490525035,-423,587,1010,-67.5,-93.175,288.4458699163413,-1234,271,1505,-11.5,-32.95,207.69799944717565,-391,426,817,-25.5,badminton
11.675,4.4513754716653136,2,19,17,10.0,-1.675,6.734478831224071,-19,12,31,-1.0,1.775,3.400509011671861,-6,11,17,1.0,-47.1,127.5986898092047,-347,298,645,-19.5,-80.15,270.0400302709173,-1080,332,1412,-14.0,-23.175,234.91153681376554,-418,585,1003,-2.5,badminton
11.1,4.913612697760146,2,19,17,9.5,-2.4,7.120933387393279,-19,10,29,-1.5,2.2,5.3262773838048245,-15,11,26,3.0,-51.85,137.46711494865852,-316,295,611,-22.0,-61.95,183.85194015140524,-848,158,1006,-9.0,0.825,280.8740832491058,-374,924,1298,-25.5,badminton
11.15,4.6605270968542625,2,19,17,9.0,-3.75,8.179868972682655,-19,16,35,-2.5,2.6,5.092981596124371,-15,13,28,3.0,-58.9,119.00911406597913,-326,209,535,-32.0,-82.85,216.53572571938452,-938,118,1056,-12.5,-15.425,282.4016858651647,-391,756,1147,-8.5,badminton
