AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,label
19,-8,-4,0,630,0,badminton
12,-3,-15,0,212,0,badminton
11,-3,-7,0,0,0,badminton
14,-4,-8,0,-319,0,badminton
19,-12,-11,0,-404,0,badminton
19,-19,-7,0,-721,397,badminton
19,-19,-8,0,-660,507,badminton
19,-19,-4,0,-542,492,badminton
19,-2,-2,0,-197,438,badminton
19,4,4,0,-178,288,badminton
8,16,3,0,0,0,badminton
5,9,6,0,0,0,badminton
4,0,1,0,0,-258,badminton
5,-6,0,0,0,-314,badminton
8,-18,-1,0,0,-316,badminton
8,-19,-3,0,0,-322,badminton
8,-17,-1,0,0,-272,badminton
8,-16,1,0,0,-262,badminton
9,-15,0,0,0,0,badminton
7,-13,2,0,0,-226,badminton
8,-8,2,0,0,0,badminton
10,-8,4,0,0,0,badminton
10,-7,3,0,0,0,badminton
9,-5,2,0,0,0,badminton
11,-2,2,0,0,0,badminton
11,-2,1,0,0,0,badminton
10,-1,1,0,0,0,badminton
10,0,2,0,0,0,badminton
9,0,2,0,0,0,badminton
9,0,2,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
10,-3,3,0,0,0,badminton
9,-3,2,0,0,0,badminton
9,-3,2,0,0,0,badminton
9,-2,2,0,0,0,badminton
12,4,11,0,0,0,badminton
12,3,10,0,198,0,badminton
19,-7,16,0,390,0,badminton
19,-10,6,0,562,0,badminton
19,-4,-1,0,458,0,badminton
13,-3,-10,0,214,0,badminton
9,-2,-11,0,0,0,badminton
8,-3,-6,0,0,0,badminton
14,-3,-3,0,-235,0,badminton
19,-9,-4,0,-327,0,badminton
19,-19,-5,0,-517,312,badminton
19,-13,-19,0,-786,507,badminton
19,-15,-19,0,-802,434,badminton
19,3,-3,305,-296,368,badminton
19,19,3,0,0,223,badminton
9,19,5,0,0,0,badminton
8,3,7,0,0,0,badminton
6,-5,-1,0,193,-223,badminton
4,-11,-4,0,157,0,badminton
6,-13,-5,0,0,-245,badminton
8,-14,-3,0,0,-299,badminton
9,-16,-2,0,0,-282,badminton
9,-15,-3,0,0,0,badminton
11,-14,-3,0,138,0,badminton
10,-14,2,0,0,0,badminton
8,-10,-2,0,0,0,badminton
6,-11,1,0,0,0,badminton
8,-8,1,0,0,0,badminton
10,-5,1,0,0,0,badminton
10,-3,0,0,0,0,badminton
10,-2,2,0,0,0,badminton
10,-2,3,0,0,0,badminton
8,-3,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,0,3,0,0,0,badminton
8,-1,3,0,0,0,badminton
8,-1,3,0,0,0,badminton
9,-2,4,0,0,0,badminton
8,-2,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
14,4,6,0,0,0,badminton
19,5,6,0,0,-283,badminton
19,0,8,0,307,-313,badminton
19,0,4,-272,445,-300,badminton
16,-8,0,-332,486,0,badminton
7,-5,-7,0,268,0,badminton
7,-2,-9,0,0,0,badminton
12,-2,-5,0,-232,0,badminton
16,-6,-1,232,-371,0,badminton
19,-15,-10,0,-375,0,badminton
19,-19,-19,0,-777,327,badminton
19,-19,-19,0,-778,471,badminton
19,-19,-19,0,-513,578,badminton
19,-6,-8,272,-321,430,badminton
19,4,-2,0,0,362,badminton
11,14,5,0,0,0,badminton
4,19,6,0,0,0,badminton
5,7,1,0,0,-254,badminton
5,-1,-3,0,0,-319,badminton
5,-9,-2,0,0,-353,badminton
8,-14,-3,0,0,-373,badminton
12,-16,-1,0,0,-425,badminton
12,-18,0,0,0,-354,badminton
14,-19,0,0,0,-394,badminton
14,-12,0,0,0,-237,badminton
12,-9,3,0,0,-242,badminton
11,-9,1,0,0,0,badminton
11,-8,4,0,0,0,badminton
9,-4,0,0,0,0,badminton
11,-1,0,0,0,0,badminton
8,0,0,0,0,0,badminton
9,-2,3,0,0,0,badminton
10,-1,3,0,0,0,badminton
